"issueId","type","license","dependency","packageLocator","version","project","projectUrl","status","depth","details","usage","teams","teamGroups","policyName","scannedAt","analyzedAt","firstFoundAt","originPaths","directDependencies","paths"
"14742740","Flagged","GPL-2.0-with-classpath-exception","jakarta.jakartaee-web-api","mvn+jakarta.platform:jakarta.jakartaee-web-api$11.0.0-M4","11.0.0-M4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.platform:jakarta.jakartaee-web-api"
"14742722","Flagged","EPL-2.0","jakarta.jakartaee-web-api","mvn+jakarta.platform:jakarta.jakartaee-web-api$11.0.0-M4","11.0.0-M4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.platform:jakarta.jakartaee-web-api"
"14742748","Flagged","EPL-2.0","jakarta.resource API","mvn+jakarta.resource:jakarta.resource-api$2.1.0","2.1.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.resource:jakarta.resource-api"
"14742745","Flagged","GPL-2.0-with-classpath-exception","jakarta.resource API","mvn+jakarta.resource:jakarta.resource-api$2.1.0","2.1.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.resource:jakarta.resource-api"
"14742750","Flagged","EPL-2.0","Jakarta Servlet","mvn+jakarta.servlet:jakarta.servlet-api$6.0.0","6.0.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.servlet:jakarta.servlet-api"
"14742732","Flagged","GPL-2.0-with-classpath-exception","Jakarta Servlet","mvn+jakarta.servlet:jakarta.servlet-api$6.0.0","6.0.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.servlet:jakarta.servlet-api"
"14742727","Flagged","GPL-2.0-with-classpath-exception","jakarta.transaction API","mvn+jakarta.transaction:jakarta.transaction-api$2.0.1","2.0.1","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.transaction:jakarta.transaction-api"
"14742726","Flagged","EPL-2.0","jakarta.transaction API","mvn+jakarta.transaction:jakarta.transaction-api$2.0.1","2.0.1","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.transaction:jakarta.transaction-api"
"14742744","Flagged","GPL-2.0-with-classpath-exception","Jakarta XML Web Services API","mvn+jakarta.xml.ws:jakarta.xml.ws-api$4.0.2","4.0.2","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.xml.ws:jakarta.xml.ws-api"
"14742736","Flagged","EPL-2.0","Jakarta XML Web Services API","mvn+jakarta.xml.ws:jakarta.xml.ws-api$4.0.2","4.0.2","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.xml.ws:jakarta.xml.ws-api"
"14742751","Flagged","GPL-2.0-with-classpath-exception","JMH Core","mvn+org.openjdk.jmh:jmh-core$1.37","1.37","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.openjdk.jmh:jmh-core"
"14742760","Flagged","GPL-2.0-with-classpath-exception","JMH Generators: Annotation Processors","mvn+org.openjdk.jmh:jmh-generator-annprocess$1.37","1.37","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.openjdk.jmh:jmh-generator-annprocess"
"14742755","Flagged","EPL-2.0","JUnit Jupiter API","mvn+org.junit.jupiter:junit-jupiter-api$5.11.4","5.11.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.junit.jupiter:junit-jupiter-api"
"14742753","Flagged","EPL-2.0","JUnit Jupiter Engine","mvn+org.junit.jupiter:junit-jupiter-engine$5.11.4","5.11.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.junit.jupiter:junit-jupiter-engine"
"14742743","Flagged","EPL-2.0","JUnit Platform Launcher","mvn+org.junit.platform:junit-platform-launcher$1.11.4","1.11.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.junit.platform:junit-platform-launcher"
"14742764","Flagged","LGPL-3.0-or-later","UniClass_Sustainable","git+github.com/lucageneroso/UniClass_Sustainable$92991694f167fbcb30138cfd617ed886993054d5","92991694f167fbcb30138cfd617ed886993054d5","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","0","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","direct","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]",
"14742734","Flagged","EPL-2.0","Weld APIs","mvn+org.jboss.weld:weld-api$5.0.Final","5.0.Final","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.jboss.weld:weld-api"
"14742731","Flagged","GPL-2.0-with-classpath-exception","Weld APIs","mvn+org.jboss.weld:weld-api$5.0.Final","5.0.Final","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > org.jboss.weld:weld-api"
